name,height,weight,base_experience,hp,attack,defense,special_attack,special_defense,speed,total_power,is_high_power,primary_type_dark,primary_type_dragon,primary_type_electric,primary_type_fairy,primary_type_fighting,primary_type_fire,primary_type_ghost,primary_type_grass,primary_type_ground,primary_type_ice,primary_type_normal,primary_type_poison,primary_type_psychic,primary_type_rock,primary_type_water
bulbasaur,7,69,64,45,49,49,65,65,45,318,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ivysaur,10,130,142,60,62,63,80,80,60,405,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
venusaur,20,1000,236,80,82,83,100,100,80,525,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
charmander,6,85,62,39,52,43,60,50,65,309,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
charmeleon,11,190,142,58,64,58,80,65,80,405,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
charizard,17,905,240,78,84,78,109,85,100,534,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
squirtle,5,90,63,44,48,65,50,64,43,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
wartortle,10,225,142,59,63,80,65,80,58,405,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
blastoise,16,855,239,79,83,100,85,105,78,530,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
caterpie,3,29,39,45,30,35,20,20,45,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
metapod,7,99,72,50,20,55,25,25,30,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
butterfree,11,320,178,60,45,50,90,80,70,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
weedle,3,32,39,40,35,30,20,20,50,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kakuna,6,100,72,45,25,50,25,25,35,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beedrill,10,295,178,65,90,40,45,80,75,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pidgey,3,18,50,40,45,40,35,35,56,251,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
pidgeotto,11,300,122,63,60,55,50,50,71,349,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
pidgeot,15,395,216,83,80,75,70,70,101,479,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
rattata,3,35,51,30,56,35,25,35,72,253,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
raticate,7,185,145,55,81,60,50,70,97,413,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
spearow,3,20,52,40,60,30,31,31,70,262,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
fearow,12,380,155,65,90,65,61,61,100,442,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ekans,20,69,58,35,60,44,40,54,55,288,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
arbok,35,650,157,60,95,69,65,79,80,448,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
pikachu,4,60,112,35,55,40,50,50,90,320,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
raichu,8,300,218,60,90,55,90,80,110,485,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sandshrew,6,120,60,50,75,85,20,30,40,300,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
