name,height,weight,base_experience,hp,attack,defense,special_attack,special_defense,speed,primary_type
bulbasaur,7,69,64,45,49,49,65,65,45,grass
ivysaur,10,130,142,60,62,63,80,80,60,grass
venusaur,20,1000,236,80,82,83,100,100,80,grass
charmander,6,85,62,39,52,43,60,50,65,fire
charmeleon,11,190,142,58,64,58,80,65,80,fire
charizard,17,905,240,78,84,78,109,85,100,fire
squirtle,5,90,63,44,48,65,50,64,43,water
wartortle,10,225,142,59,63,80,65,80,58,water
blastoise,16,855,239,79,83,100,85,105,78,water
caterpie,3,29,39,45,30,35,20,20,45,bug
metapod,7,99,72,50,20,55,25,25,30,bug
butterfree,11,320,178,60,45,50,90,80,70,bug
weedle,3,32,39,40,35,30,20,20,50,bug
kakuna,6,100,72,45,25,50,25,25,35,bug
beedrill,10,295,178,65,90,40,45,80,75,bug
pidgey,3,18,50,40,45,40,35,35,56,normal
pidgeotto,11,300,122,63,60,55,50,50,71,normal
pidgeot,15,395,216,83,80,75,70,70,101,normal
rattata,3,35,51,30,56,35,25,35,72,normal
raticate,7,185,145,55,81,60,50,70,97,normal
spearow,3,20,52,40,60,30,31,31,70,normal
fearow,12,380,155,65,90,65,61,61,100,normal
ekans,20,69,58,35,60,44,40,54,55,poison
arbok,35,650,157,60,95,69,65,79,80,poison
pikachu,4,60,112,35,55,40,50,50,90,electric
raichu,8,300,218,60,90,55,90,80,110,electric
sandshrew,6,120,60,50,75,85,20,30,40,ground
sandslash,10,295,158,75,100,110,45,55,65,ground
nidoran-f,4,70,55,55,47,52,40,40,41,poison
nidorina,8,200,128,70,62,67,55,55,56,poison
nidoqueen,13,600,227,90,92,87,75,85,76,poison
nidoran-m,5,90,55,46,57,40,40,40,50,poison
nidorino,9,195,128,61,72,57,55,55,65,poison
nidoking,14,620,227,81,102,77,85,75,85,poison
clefairy,6,75,113,70,45,48,60,65,35,fairy
clefable,13,400,217,95,70,73,95,90,60,fairy
vulpix,6,99,60,38,41,40,50,65,65,fire
ninetales,11,199,177,73,76,75,81,100,100,fire
jigglypuff,5,55,95,115,45,20,45,25,20,normal
wigglytuff,10,120,196,140,70,45,85,50,45,normal
zubat,8,75,49,40,45,35,30,40,55,poison
golbat,16,550,159,75,80,70,65,75,90,poison
oddish,5,54,64,45,50,55,75,65,30,grass
gloom,8,86,138,60,65,70,85,75,40,grass
vileplume,12,186,221,75,80,85,110,90,50,grass
paras,3,54,57,35,70,55,45,55,25,bug
parasect,10,295,142,60,95,80,60,80,30,bug
venonat,10,300,61,60,55,50,40,55,45,bug
venomoth,15,125,158,70,65,60,90,75,90,bug
